1.A.11.1.4	ammonia
1.A.11.2.3	ammonia|methylamine
1.A.11.2.7	ammonium|tetramethylammonium
1.A.1.13.10	potassium(1+)|rubidium(1+)
1.A.1.13.7	potassium(1+)
1.A.1.13.8	potassium(1+)
1.A.115.1.1	ion
1.A.1.24.5	potassium(1+)
1.A.1.5.31	potassium(1+)|inorganic cation
1.A.22.1.11	ion
1.A.23.4.1	ion
1.A.23.4.6	ion
1.A.23.7.2	ion
1.A.26.1.2	calcium(2+)|magnesium(2+)|manganese(2+)
1.A.26.3.1	magnesium(2+)
1.A.35.3.1	calcium(2+)|magnesium(2+)|nickel(2+)
1.A.72.3.2	mercury(2+)
1.A.8.10.16	water
1.A.8.8.22	water
1.A.9.8.3	ion
1.B.18.2.2	exopolysaccharide
1.B.42.1.2	lipopolysaccharide
1.C.126.1.4	magnesium(2+)
1.I.3.1.1	molecule|macromolecule
1.R.1.1.1	lipid
2.A.108.2.3	iron(2+)
2.A.108.2.4	iron atom
2.A.108.2.9	iron atom
2.A.1.1.115	metabolite
2.A.1.1.117	glucose
2.A.1.1.122	glucitol
2.A.1.1.15	UDP-sugar
2.A.1.1.1	D-fucopyranose|2-deoxy-D-galactopyranose|2-deoxy-D-glucopyranose|aldehydo-D-xylose|galactose|D-galactopyranose
2.A.1.12.1	N-glycoloyl-beta-neuraminic acid|N-acetyl-beta-neuraminic acid
2.A.113.1.12	cobalt(2+)|nickel(2+)
2.A.1.13.13	monocarboxylic acid anion
2.A.1.14.25	D-mannuronate
2.A.1.14.2	galacturonate|D-glucuronate|D-glucopyranose
2.A.1.15.4	cis,cis-muconate
2.A.1.19.37	organic cation|amine
2.A.1.21.22	macrolide|erythromycin A
2.A.1.2.24	chloramphenicol|fluoroquinolone antibiotic
2.A.123.2.3	UDP-sugar
2.A.123.2.6	glucose
2.A.123.2.8	UDP-sugar
2.A.1.2.34	colistin|fluoroquinolone antibiotic
2.A.1.2.39	tetracycline
2.A.1.2.41	tetracycline|tetracycline
2.A.1.2.49	tetracycline|tetracycline
2.A.1.2.55	peptide|dipeptide|arabinose|drug
2.A.1.2.70	tetracycline|drug
2.A.1.2.95	chloramphenicol|fluoroquinolone antibiotic
2.A.1.3.10	hydron|drug
2.A.1.3.19	paraquat
2.A.1.3.33	actinomycin D|novobiocin|streptomycin
2.A.1.3.49	spectinomycin|tetracycline|drug
2.A.1.3.50	3,6-diamino-10-methylacridinium chloride|ethidium bromide|tetraphenylphosphonium|norfloxacin|puromycin|drug
2.A.1.3.5	hydron|pristinamycin IA|pristinamycin IIA|rifamycin SV
2.A.1.3.64	cholate
2.A.1.3.70	arenecarbaldehyde|aromatic compound
2.A.1.3.72	riboflavin|riboflavin
2.A.14.1.2	glycolate|lactate
2.A.1.4.6	D-glucopyranose 6-phosphate
2.A.1.49.1	sphingosine 1-phosphate
2.A.1.53.11	alpha-amino acid
2.A.1.6.10	metabolite
2.A.1.6.13	acetate|chloroacetate
2.A.16.4.5	anion
2.A.1.82.4	nicotinic acid
2.A.1.9.11	phosphate(3-)
2.A.1.9.12	phosphate(3-)
2.A.19.5.4	calcium(2+)|sodium(1+)
2.A.1.9.9	phosphate(3-)
2.A.20.1.4	phosphate(3-)
2.A.21.4.1	hydron|pyruvate|propionate|lactate|butyrate|2-hydroxybutyrate|cysteine|alanine|histidine
2.A.3.11.1	glutamate(2-)|aspartate(2-)
2.A.3.1.14	putrescine
2.A.3.13.1	methionine
2.A.3.15.2	polar amino acid
2.A.3.3.16	alpha-amino acid
2.A.3.3.1	lysine|ornithine|arginine
2.A.3.3.22	alpha-amino acid
2.A.3.3.23	L-isoleucine|leucine|valine
2.A.3.3.3	alpha-amino acid
2.A.3.6.1	alpha-amino acid
2.A.36.6.8	sodium(1+)|hydron
2.A.36.6.9	sodium(1+)|hydron
2.A.37.2.2	sodium(1+)|potassium(1+)|hydron
2.A.37.2.7	sodium(1+)|hydron
2.A.37.4.1	potassium(1+)|hydron
2.A.3.8.11	L-dopa|cystine|alanine|arginine|glutamic acid|serine|histidine|phenylalanine|tryptophan|tyrosine
2.A.38.1.1	potassium(1+)
2.A.38.1.3	potassium(1+)
2.A.3.8.30	alpha-amino acid
2.A.38.4.4	potassium(1+)
2.A.38.4.5	potassium(1+)
2.A.38.4.6	potassium(1+)
2.A.39.1.2	pyrimidine
2.A.39.1.4	base
2.A.39.3.11	hydron|adenine|guanine|uracil
2.A.39.3.12	cytosine|flucytosine|allantoin|adenine|guanine|7,9-dihydro-1H-purine-2,6,8(3H)-trione|hypoxanthine|9H-xanthine
2.A.40.2.1	7H-purine
2.A.4.1.1	cadmium(2+)|cobalt(2+)|copper(2+)|nickel(2+)|zinc(2+)
2.A.45.2.4	silicate(4-)
2.A.4.6.1	zinc(2+)
2.A.4.7.2	metal cation
2.A.47.5.2	lithium(1+)|sodium(1+)|citrate salt|glutamate(2-)|malate(2-)|succinate(2-)|fumarate(2-)
2.A.49.4.1	chloride
2.A.49.5.1	fluoride|chloride|anion|nitrate|thiocyanate
2.A.49.6.1	chloride
2.A.49.6.4	chloride|hydron
2.A.49.9.3	fluoride|hydron
2.A.52.1.3	nickel(2+)
2.A.53.5.3	molybdate
2.A.5.4.11	cadmium(2+)|zinc(2+)
2.A.5.4.9	zinc(2+)
2.A.55.2.15	metal cation
2.A.55.3.1	cadmium(2+)|cobalt(2+)|iron(2+)|manganese(2+)|nickel(2+)|zinc(2+)
2.A.55.3.3	manganese(2+)
2.A.55.3.7	metal cation|hydron
2.A.59.1.2	arsenite(3-)|antimonite
2.A.64.2.1	protein polypeptide chain
2.A.64.3.2	protein polypeptide chain
2.A.64.4.1	protein polypeptide chain
2.A.64.5.1	protein polypeptide chain
2.A.6.5.1	actinorhodin
2.A.6.5.3	glycopeptidolipid
2.A.6.6.11	electron
2.A.66.2.5	[3)-beta-D-galactopyranuronosyl-(1->3)-2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-glucopyranosyl-(1->4)-beta-D-galactopyranurosyl-(1->]n
2.A.7.3.49	peptide
2.A.88.1.7	biotin
2.A.88.3.1	thiamine(1+)
2.A.89.1.2	iron(2+)
2.A.89.3.10	iron(2+)
2.A.89.3.9	iron(2+)
2.A.95.1.4	L-threonine|L-alanine|L-serine|glycine
2.A.95.1.6	peptide|serine|antimicrobial agent
